,X,Y
1,852,1409
2,1392,1653
3,1776,993
4,2282,1949
5,1902,2415
6,2545,2129
7,3101,1073
8,4654,1729
9,4607,1341
10,5288,1645
11,5024,2600
12,4542,2291
13,5447,3006
14,5024,972
15,7112,1662
16,7517,2230
17,5841,2852
18,5613,2553
19,5616,3367
20,5968,3640
21,6231,3586
22,5811,4077
23,5474,3858
24,5148,4093
25,4375,3975
26,4716,4100
27,5166,4687
28,4329,3335
29,3844,2979
30,4919,2804
31,4792,3247
32,7043,460
33,6075,1067
34,7681,1708
35,2260,3469
36,2697,4193
37,3386,3608
38,3169,2877
39,633,3459
40,1545,2345
41,1510,3960
42,1509,3685
43,1354,3770
44,7035,652
45,5976,6177
46,6468,5905
47,6398,6373
48,5982,6469
49,2954,5648
50,2970,6052
51,3213,6145
52,7723,4440
53,1152,5284
54,1222,5628
55,4921,6246
56,4313,6258
57,4479,6410
58,6751,3426
59,7003,3722
60,6802,3742
61,6481,2750
62,6403,2504
63,8357,3342
64,6190,7039
65,6063,4686
66,6087,4488
67,6371,4504
68,3063,1367
69,1972,5473
70,1856,5378
71,3017,1827
72,2369,1015
73,6819,1633
74,5479,1783
75,6351,1583
76,4689,4837
77,5665,6355
78,756,1806
