 ,X,Y
1,865,1289
2,1632,1686
3,1976,1088
4,2666,2036
5,2260,2538
6,3015,2159
7,3495,1123
8,5100,1829
9,5084,1452
10,5741,1765
11,5490,2700
12,5044,2356
13,5909,3126
14,5450,1080
15,7581,1835
16,7967,2350
17,6257,2951
18,6048,2637
19,6110,3489
20,6410,3704
21,6622,3651
22,6227,4150
23,5945,3883
24,5594,4118
25,4751,4062
26,5158,4170
27,5660,4760
28,4748,3384
29,4313,3054
30,5275,2847
31,5271,3340
32,7518,686
33,6443,1170
34,8221,1803
35,2705,3611
36,3010,4293
37,3828,3735
38,3454,2994
39,915,3535
40,1857,2395
41,2027,4055
42,2015,3760
43,1856,3870
44,7520,866
45,6449,6209
46,6989,5942
47,6807,6376
48,6469,6517
49,3400,5679
50,3447,6089
51,3659,6191
52,8179,4443
53,1530,5291
54,1530,5677
55,5250,6263
56,4624,6285
57,4756,6447
58,7256,3523
59,7422,3787
60,7276,3843
61,6994,2841
62,6840,2575
63,8831,3418
64,6747,7098
65,6504,4780
66,6584,4584
67,6830,4586
68,3427,1458
69,2490,5520
70,2327,5413
71,3481,1908
72,2667,1178
73,7306,1793
74,5957,1928
75,6815,1730
76,5083,4936
77,6113,6404
78,865,1796
