 ,X,Y
1,382,1340
2,910,1528
3,1222,886
4,1791,1816
5,1450,2219
6,2038,1969
7,2539,888
8,4107,1408
9,4076,1019
10,4659,1256
11,4524,2229
12,4077,1979
13,4954,2602
14,4443,617
15,6551,1181
16,7011,1745
17,5356,2420
18,5133,2134
19,5140,2957
20,5515,3188
21,5801,3126
22,5373,3657
23,5048,3449
24,4747,3687
25,3980,3636
26,4325,3728
27,4778,4272
28,3943,2999
29,3382,2638
30,4459,2457
31,4341,2887
32,6471,8
33,5525,638
34,7066,1322
35,1870,3287
36,2355,3967
37,2996,3279
38,2704,2640
39,241,3417
40,1138,2195
41,1093,3826
42,1112,3540
43,949,3632
44,6441,172
45,5699,5678
46,6155,5410
47,6129,5830
48,5671,5994
49,2685,5370
50,2727,5778
51,2943,5852
52,7355,3968
53,902,5145
54,1006,5505
55,4621,5834
56,3997,5924
57,4199,6058
58,6312,2901
59,6504,3223
60,6357,3282
61,5958,2313
62,5877,2101
63,7936,2706
64,5877,6529
65,5710,4234
66,5668,4046
67,5940,4033
68,2534,1133
69,1714,5295
70,1542,5172
71,2483,1614
72,1899,832
73,6283,1173
74,4910,1402
75,5806,1122
76,4247,4462
77,5364,5950
78,266,1795
