 ,X,Y
1,206,2274
2,794,2424
3,1080,1724
4,1832,2581
5,1523,3049
6,2143,2677
7,2532,1540
8,4221,1995
9,4115,1615
10,4803,1824
11,4680,2806
12,4185,2550
13,5145,3169
14,4448,1164
15,6661,1612
16,7117,2100
17,5498,2942
18,5267,2683
19,5316,3562
20,5763,3717
21,6007,3615
22,5659,4164
23,5303,3994
24,5003,4253
25,4213,4275
26,4577,4349
27,5110,4869
28,4072,3620
29,3538,3338
30,4606,3023
31,4569,3491
32,6456,394
33,5527,1166
34,7266,1550
35,2054,4067
36,2591,4705
37,3185,4044
38,2879,3360
39,344,4366
40,1152,3022
41,1394,4653
42,1358,4372
43,1234,4483
44,6438,584
45,6129,6239
46,6589,5905
47,6579,6381
48,6187,6551
49,3050,6145
50,3088,6517
51,3346,6539
52,7606,4241
53,1146,5995
54,1234,6351
55,5103,6451
56,4439,6540
57,4622,6660
58,6523,3360
59,6825,3604
60,6610,3723
61,6154,2762
62,6059,2564
63,8137,3121
64,6487,7072
65,5976,4751
66,6046,4544
67,6296,4513
68,2539,1871
69,2057,6116
70,1865,5926
71,2571,2329
72,1743,1664
73,6361,1642
74,5023,1936
75,5811,1628
76,4647,5087
77,5841,6491
78,175,2748
