 ,X,Y
1,4149,1310
2,6402,1100
3,5887,1288
4,5908,1120
5,5429,1972
6,5169,1844
7,6011,1633
8,6177,1755
9,6622,1858
10,6783,1720
11,9509,2768
12,9289,2682
13,8921,2774
14,8953,2346
15,8502,3127
16,8432,2981
17,8360,2647
18,8237,3650
19,9481,4226
20,9253,4086
21,8770,3800
22,10732,2612
23,11191,2575
24,11413,2694
25,11377,2605
26,10997,3010
27,11509,2998
28,12153,3992
29,11956,3558
30,11388,3452
31,12515,3669
32,7311,2448
33,8977,5614
34,8655,4970
35,8991,4878
36,8249,5268
37,7695,5574
38,7743,6116
39,7065,6580
40,7387,6866
41,2700,3296
42,2980,3768
43,3316,2912
44,9142,7602
45,9536,7488
46,9658,8059
47,10100,8213
48,10402,8495
49,10462,8297
50,9994,7701
51,9158,7985
52,2801,6264
53,3005,6420
54,2913,6740
55,6080,7753
56,6245,7450
57,7144,7827
58,12564,5619
59,12476,4157
60,13124,4973
61,12824,5513
62,11106,6355
63,11370,6191
64,10982,5035
65,11078,5237
66,11978,4882
67,12032,5174
68,10580,4720
69,10416,4848
70,10166,4768
71,10364,4444
72,9836,5384
73,2435,5640
74,2455,5358
75,2509,4922
76,6534,6087
77,6404,6237
78,5073,6278
79,5195,6708
80,5403,6406
81,7283,4160
82,7057,4500
83,7545,4644
84,6332,3505
85,6413,3739
86,7086,3621
87,6990,3453
88,4726,3796
89,4470,4000
90,4815,4310
91,3893,4546
92,4069,4774
93,4053,5046
94,4494,2401
95,4538,2729
96,4402,2657
