 ,X,Y
1,3513,1385
2,5517,1177
3,5133,1363
4,5154,1152
5,4753,1955
6,4575,1807
7,5333,1595
8,5392,1743
9,5831,1877
10,6015,1784
11,8815,2817
12,8597,2680
13,8308,2869
14,8309,2399
15,7735,3183
16,7635,3034
17,7571,2726
18,7287,3558
19,8789,4286
20,8467,4138
21,7864,3742
22,9852,2762
23,10300,2708
24,10464,2833
25,10423,2746
26,10050,3005
27,10608,3064
28,11231,3999
29,11072,3642
30,10496,3552
31,11589,3859
32,6583,2547
33,8261,5639
34,7939,4982
35,8273,4960
36,7561,5322
37,7143,5672
38,7053,6215
39,6404,6595
40,6649,6836
41,2110,3384
42,2376,3948
43,2684,2812
44,8410,7615
45,8800,7515
46,8932,7951
47,9248,8163
48,9558,8419
49,9594,8265
50,9246,7743
51,8508,8059
52,2214,6281
53,2493,6410
54,2250,6788
55,5355,7881
56,5616,7593
57,6762,7935
58,11718,6020
59,11561,4147
60,12243,5151
61,12101,5719
62,10419,6487
63,10623,6344
64,10228,5127
65,10270,5392
66,11188,4950
67,11253,5190
68,9463,4942
69,9303,4960
70,9186,4830
71,9407,4671
72,9011,5444
73,1776,5777
74,1856,5423
75,1858,4939
76,5984,5961
77,5780,6099
78,4284,6119
79,4572,6521
80,4653,6230
81,6561,4224
82,6483,4514
83,6925,4714
84,5580,3554
85,5640,3749
86,6273,3359
87,6387,3530
88,4036,3998
89,3872,4168
90,4180,4412
91,3226,4664
92,3500,4936
93,3460,5178
94,3828,2424
95,3812,2586
96,3704,2564
