 ,X,Y
1,3716,1076
2,5807,616
3,5339,793
4,5364,591
5,5029,1392
6,4849,1222
7,5589,996
8,5649,1146
9,6076,1257
10,6277,1174
11,9151,2104
12,8947,1976
13,8585,2166
14,8547,1704
15,8071,2474
16,7955,2372
17,7855,2026
18,7593,2826
19,9261,3444
20,8963,3386
21,8235,3012
22,10329,1973
23,10782,1880
24,10964,1999
25,10933,1941
26,10489,2196
27,11115,2232
28,11684,3066
29,11540,2738
30,10960,2675
31,12176,2903
32,6793,1832
33,8762,4798
34,8474,4139
35,8734,4186
36,8013,4532
37,7662,4931
38,7565,5484
39,6864,5865
40,7132,6046
41,2352,2949
42,2740,3491
43,3020,2334
44,9012,6729
45,9388,6641
46,9524,7059
47,9828,7261
48,9992,7459
49,10074,7367
50,9826,6857
51,9140,7171
52,2720,5757
53,2975,5936
54,2743,6304
55,6036,7156
56,6180,6882
57,7275,7166
58,12284,5038
59,12023,3137
60,12791,4294
61,12645,4806
62,11010,5583
63,11168,5486
64,10755,4220
65,10824,4486
66,11778,3965
67,11762,4268
68,9949,4127
69,9781,4180
70,9689,4026
71,9872,3826
72,9518,4622
73,2252,5277
74,2288,4977
75,2276,4479
76,6465,5250
77,6263,5404
78,4881,5535
79,5039,5887
80,5141,5605
81,6881,3449
82,6891,3852
83,7279,4029
84,5918,2912
85,6023,3116
86,6584,2687
87,6743,2864
88,4510,3413
89,4309,3599
90,4537,3857
91,3603,4113
92,3995,4357
93,3901,4656
94,4160,1878
95,4168,2058
96,4030,2036
