 ,X,Y
1,2112,1584
2,2592,1548
3,2862,1608
4,3474,1956
5,2556,1746
6,1938,978
7,2922,1350
8,5322,1104
9,5514,1272
10,5364,1350
11,6030,2058
12,6252,2724
13,6168,2934
14,6897,972
15,7143,948
16,7041,1350
17,7419,864
18,7905,1140
19,1770,2406
20,1632,2700
21,1998,2172
22,1668,3090
23,1674,3246
24,2148,3126
25,2010,2976
26,4350,2670
27,4920,2874
28,4694,2660
29,3966,3096
30,3918,3420
31,2952,4392
32,3270,3906
33,3216,4116
34,2983,3364
35,3082,3432
36,1926,5046
37,2322,4518
38,1902,4074
39,2454,4074
40,6378,6376
41,6035,5931
42,5388,5794
43,6582,5812
44,5884,6406
45,5112,6034
46,7935,6250
47,7737,5764
48,7725,6520
49,7689,3190
50,7353,3016
51,7677,2848
52,191,5086
53,726,5548
54,505,4821
55,738,4984
56,138,5608
57,1062,6194
58,4995,4180
59,5049,4393
60,4553,4448
61,4824,2124
62,4746,1800
63,4752,1471
64,4302,1587
65,2798,2215
66,2314,2131
67,1986,690
68,7011,4230
69,6945,4158
70,4270,4535
71,4139,4835
72,2560,4786
73,2427,5398
74,8115,5705
75,3942,1680
76,3659,2822
77,4683,3226
78,4683,3694
79,5912,3503
80,96,4648
