 ,X,Y
1,2499,1962
2,2809,1900
3,3054,1956
4,3781,2136
5,2773,2101
6,2400,1590
7,3246,1615
8,5628,1440
9,5868,1626
10,5760,1716
11,6384,2088
12,6576,2598
13,6462,2778
14,6931,618
15,7201,546
16,7099,1002
17,7422,371
18,7789,630
19,2016,2426
20,1812,2540
21,2280,2450
22,1920,3122
23,1736,3217
24,2376,3488
25,2358,3188
26,4611,2668
27,4976,2959
28,4992,2655
29,4293,3205
30,4444,3446
31,3888,4400
32,4077,3910
33,4128,4142
34,3339,3585
35,3446,3635
36,2619,5141
37,2715,4698
38,2493,4428
39,2930,4276
40,7063,5894
41,6690,5564
42,6115,5654
43,7189,5432
44,6613,6062
45,5842,5869
46,8651,5667
47,8479,5198
48,8473,5924
49,8089,2493
50,7705,2509
51,8074,2365
52,588,5636
53,1225,5955
54,960,5336
55,1302,5517
56,678,6116
57,1699,6573
58,5456,4055
59,5551,4266
60,5095,4416
61,5022,2138
62,4990,1923
63,4925,1514
64,4483,1693
65,3031,2519
66,2533,2513
67,2386,1152
68,7169,3699
69,7092,3627
70,4783,4542
71,4661,4809
72,3090,5024
73,2985,5753
74,8785,5048
75,4044,1893
76,3964,2967
77,5055,3150
78,5007,3551
79,6309,3272
80,252,5252
