 ,X,Y
1,2265,1737
2,2567,1715
3,2785,1825
4,3468,2079
5,2511,1912
6,2248,1218
7,3016,1486
8,5420,1741
9,5610,1936
10,5482,1964
11,5966,2405
12,6127,2929
13,5981,3111
14,6686,972
15,6914,891
16,6776,1326
17,7134,783
18,7457,1038
19,1671,2101
20,1371,2236
21,1949,2170
22,1532,2808
23,1399,2897
24,2007,3257
25,1894,2919
26,4201,2722
27,4517,3062
28,4565,2758
29,3838,3219
30,3956,3481
31,3280,4335
32,3555,3899
33,3551,4110
34,2887,3476
35,2983,3540
36,2029,4944
37,2169,4512
38,1987,4212
39,2421,4116
40,6141,6273
41,5863,5901
42,5363,5851
43,6334,5834
44,5713,6365
45,5021,6096
46,7721,6261
47,7603,5787
48,7567,6465
49,7536,3001
50,7168,2967
51,7536,2870
52,146,5205
53,610,5579
54,454,4941
55,732,5149
56,172,5757
57,994,6261
58,4853,4225
59,4905,4431
60,4419,4495
61,4651,2243
62,4644,2023
63,4627,1604
64,4186,1726
65,2711,2366
66,2237,2295
67,2247,909
68,6526,4091
69,6460,4009
70,4141,4585
71,4012,4878
72,2466,4864
73,2310,5606
74,7900,5639
75,3746,1870
76,3551,2937
77,4571,3264
78,4481,3660
79,5753,3550
80,6,4879
