 ,X,Y
1,2124,1584
2,2592,1552
3,2865,1622
4,3444,1956
5,2391,1799
6,2244,982
7,2916,1212
8,5448,1468
9,5796,1700
10,5570,1728
11,6204,2354
12,6242,2716
13,6122,2894
14,6898,952
15,7084,846
16,6954,1300
17,7320,716
18,7696,958
19,1947,1833
20,1737,1965
21,2040,2085
22,1644,2502
23,1593,2694
24,2217,3186
25,1962,2940
26,4385,2655
27,4626,3052
28,4769,2727
29,3991,3096
30,4027,3272
31,3585,4464
32,3651,3864
33,3726,4119
34,3057,3297
35,3177,3402
36,1923,5053
37,2265,4488
38,1897,4067
39,2412,4013
40,6351,6376
41,6053,5936
42,5467,5756
43,6565,5682
44,5845,6388
45,5121,6018
46,7899,6222
47,7749,5748
48,7781,6464
49,7718,3163
50,7348,3012
51,7752,3008
52,218,5092
53,720,5520
54,496,4812
55,756,4976
56,150,5712
57,1066,6216
58,5090,4222
59,5164,4514
60,4612,4444
61,4839,2123
62,4743,1991
63,4744,1450
64,4344,1562
65,2821,2213
66,2317,2089
67,2199,671
68,6604,4253
69,6505,4129
70,4292,4509
71,4121,4812
72,2450,4796
73,2439,5448
74,8133,5689
75,3903,1734
76,3725,2695
77,4702,3225
78,4684,3691
79,5893,3433
80,99,4764
