 ,X,Y
1,2498,1948
2,2806,1894
3,3072,1963
4,3772,2142
5,2723,2106
6,2481,1445
7,3234,1614
8,5665,1479
9,5929,1655
10,5769,1719
11,6425,2076
12,6567,2590
13,6457,2772
14,6961,646
15,7199,548
16,7090,1018
17,7371,434
18,7813,594
19,2011,2427
20,1798,2545
21,2281,2435
22,1912,3115
23,1756,3231
24,2466,3501
25,2350,3173
26,4611,2595
27,4854,2978
28,4965,2662
29,4305,3217
30,4388,3353
31,3919,4384
32,4103,3942
33,4129,4152
34,3347,3592
35,3467,3654
36,2631,5166
37,2743,4724
38,2511,4446
39,2969,4286
40,7039,5886
41,6689,5562
42,6223,5596
43,7197,5418
44,6633,6062
45,5877,5892
46,8631,5618
47,8473,5196
48,8489,5842
49,8093,2513
50,7696,2517
51,8069,2381
52,578,5634
53,1186,6020
54,946,5338
55,1296,5498
56,666,6170
57,1672,6574
58,5524,4048
59,5620,4256
60,5047,4396
61,4985,2131
62,4966,1913
63,4910,1501
64,4470,1685
65,3043,2513
66,2576,2497
67,2402,1149
68,7158,3732
69,7084,3627
70,4788,4543
71,4678,4870
72,3097,5025
73,2903,5693
74,8834,5037
75,4026,1892
76,3980,2944
77,5045,3172
78,5006,3560
79,6280,3274
80,406,5348
