 ,X,Y
1,2614,966
2,2948,972
3,3187,1079
4,3850,1424
5,2874,1177
6,2654,516
7,3418,810
8,5770,884
9,6034,1072
10,5862,1096
11,6493,1662
12,6565,2106
13,6454,2301
14,7110,261
15,7339,174
16,7218,600
17,7609,63
18,7933,345
19,2157.667,1226
20,1937.667,1348.667
21,2390,1361
22,2077,1944
23,1960,2080
24,2508,2566
25,2394,2264
26,4705,2016
27,4945,2399
28,5025,2061
29,4320,2455
30,4364,2670
31,3758,3628
32,4012,3212
33,3988,3410
34,3255,2719
35,3413,2827
36,2358,4283
37,2646,3789
38,2326,3439
39,2830,3397
40,6642,5535
41,6382,5143
42,5850,5061
43,6884,5035
44,6197,5593
45,5470,5285
46,8210,5418
47,8022,5041
48,7972,5680
49,7957,2331
50,7599,2245
51,7977,2167
52,410,4388
53,1006,4900
54,774,4134
55,1104,4352
56,402,4950
57,1386,5552
58,5379,3562
59,5449,3830
60,4911,3792
61,5133,1524
62,5097,1226
63,5030,875
64,4637,1075
65,3199,1660
66,2703,1542
67,2606,170
68,6932,3548
69,6834,3424
70,4640,3853
71,4535,4188
72,2868,4094
73,2666,4842
74,8402,4906
75,4150,1293
76,4034,2143
77,5035,2573
78,5005,3000
79,6193,2812
80,324,4152
