 ,X,Y
1,2148,634
2,2316,708
3,1390,1190
4,1318,1058
5,1442,1340
6,1583,1342
7,1126,1563
8,1175,1520
9,925,1323
10,2790,3004
11,835,1526
12,761,589
13,723,1663
14,571,1328
15,1823,1259
16,1622,279
17,1807,1394
18,2016,1295
19,2352,1433
20,3562,1728
21,2035,1591
22,306,3120
23,1902,1609
24,60,2316
25,1740,1849
26,1233,321
27,1824,1998
28,1687,2151
29,2384,2708
30,1428,2217
31,1136,2143
32,1210,2207
33,1208,1834
34,154,1851
35,1388,1774
36,743,1998
37,824,2174
38,688,2143
39,1221,2823
40,1431,2728
41,1913,2914
42,1731,2651
43,2331,2204
44,2187,2090
45,2640,2263
46,1982,3345
47,1810,3495
48,2336,4056
49,2614,3880
50,3031,3251
51,3181,3262
52,3274,4088
53,3473,4062
54,4256,2948
55,1292,4536
56,720,3758
57,3158,4674
58,2906,8712
59,3051,5715
60,3868,5038
61,2529,5433
62,2281,6400
63,2672,5156
64,2863,5619
65,2727,5629
66,3287,5243
67,3441,5515
68,1632,5460
69,2952,6058
70,3103,6153
71,2678,7181
72,2474,7330
73,2669,7691
74,3330,7810
75,3332,7941
76,2672,5993
77,1410,5763
78,1973,6363
79,1710,7202
80,4508,9626
81,4523,8927
82,3434,8573
83,3207,8900
84,3806,6881
85,4304,6596
86,4619,6077
87,3864,7712
88,3862,7352
89,4179,3997
90,4404,4384
91,4612,4573
92,4377,7518
93,3553,4480
94,4634,5661
95,4779,5872
96,4485,8159
97,3251,1352
98,3759,2468
