 ,X,Y
1,1938,440
2,2353,1906
3,2305,2506
4,1975,2352
5,3081,540
6,2911,1232
7,2575,1636
8,1295,1438
9,1593,1500
10,1195,888
11,3299,2216
12,3241,2758
13,3611,2808
14,3517,1564
15,3621,1974
16,4427,2344
17,4003,2470
18,4945,2290
19,4053,1018
20,4159,1728
21,5522,3064
22,5644,3674
23,5760,4194
24,3238,3322
25,3754,3668
26,4586,2942
27,4542,5252
28,4412,4854
29,4998,4045
30,4233,4665
31,5614,5448
32,4944,4641
33,5260,5284
34,1876,3127
35,1500,3589
36,2396,4033
37,1118,3663
38,2116,4405
39,1764,4069
40,1884,4641
41,3188,4089
42,1640,5377
43,1238,5261
44,1066,4629
45,1528,4889
46,2768,5439
47,2506,4921
48,2780,4635
49,3356,4745
50,3278,5213
51,3704,5245
52,4696,6463
53,4912,6061
54,4388,5813
55,2802,6593
56,2780,6927
57,3496,6175
58,3122,6289
59,2070,6589
60,3934,7417
61,3248,6955
62,706,5605
63,624,6101
64,1130,6279
65,994,6773
66,948,7337
67,1494,7867
68,516,7359
69,330,7471
70,2238,7263
71,2270,7739
72,2074,8272
73,3127,8470
74,1390,9324
75,1268,8797
76,770,9002
77,467,8184
78,1003,8360
79,1361,8413
80,595,9554
81,1135,9630
82,868,9722
83,1331,10053
84,1331,10300
85,1192,10608
86,758,10399
87,5808,5980
88,4978,6666
89,1768,10999
90,1552,10723
91,1874,10021
92,436,9855
93,238,9011
94,2759,3665
95,3584,3980
96,2111,3500
97,3821,4601
98,4883,5912
99,2339,6794
100,779,6608
101,2453,5558
102,1931,5534
103,2557,6090
104,2573,7884
105,1663,8996
106,1205,8518
107,1487,8772
