 ,X,Y
1,2690,308
2,3084,1758
3,3004,2358
4,2660,2214
5,3876,442
6,3718,1158
7,3324,1526
8,2008,1726
9,2450,1698
10,2010,702
11,4006,2180
12,3892,2678
13,4302,2736
14,4344,1522
15,4391,1950
16,5174,2388
17,4885,2687
18,5717,2401
19,4787,967
20,4974,1768
21,6115,3295
22,6069,3806
23,6067,4356
24,3853,3205
25,4243,3596
26,5199,3025
27,4816,5321
28,4745,4898
29,5437,4120
30,4589,4667
31,5800,5588
32,5299,4713
33,5529,5395
34,2418,3006
35,1965,3400
36,2835,3882
37,1621,3469
38,2479,4264
39,2164,3858
40,2210,4475
41,3667,4015
42,1874,5211
43,1540,5083
44,1400,4397
45,1810,4673
46,2976,5335
47,2760,4783
48,3100,4503
49,3708,4697
50,3564,5177
51,3936,5274
52,4764,6532
53,5042,6136
54,4568,5852
55,2850,6514
56,2794,6862
57,3592,6182
58,3218,6262
59,2120,6456
60,3865,7378
61,3256,6963
62,894,5347
63,724,5872
64,1192,6080
65,1051,6567
66,936,7119
67,1466,7714
68,579,7162
69,340,7231
70,2200,7167
71,2194,7655
72,1869,8114
73,2802,8512
74,1254,9027
75,1153,8615
76,687,8788
77,441,7943
78,902,8208
79,1267,8292
80,434,9313
81,960,9441
82,646,9519
83,1074,9859
84,1050,10153
85,934,10486
86,574,10078
87,5919,6070
88,5019,6700
89,1447,10936
90,1213,10560
91,1573,9860
92,274,9608
93,148,8772
94,3267,3576
95,4063,3920
96,2623,3336
97,4187,4576
98,5066,6024
99,2386,6736
100,734,6432
101,2606,5448
102,2122,5428
103,2628,5938
104,2468,7805
105,1441,8830.667
106,1059.333,8335.666
107,1308.667,8537
