 ,X,Y
1,3501,1956
2,4063,1554
3,3989,812
4,3177,430
5,2801,802
6,3466.667,1680.333
7,3546.667,1268.333
8,2190,1570
9,3170,1650
10,3399,2421
11,3040.333,2439.667
12,2848.333,2702.667
13,2737.667,2608
14,2478.333,2447.667
15,1902.333,2082
16,1260,3431
17,2104,3523
18,2450,3079
19,2958,2961
20,4317,3243
21,3214,3671
22,4220,2587
23,2612.333,4125
24,2800.333,3970.333
25,2587,4583.667
26,2249.333,4548.333
27,2481.333,3788.333
28,3921,4357
29,3269,4701
30,3797,5379
31,3479,5441
32,3793,4965
33,3289,6057
34,2356,5424
35,1942,5241
36,2137,6051
37,1894,5721
38,1338,5323.667
39,951.333,5559.667
40,1011.333,5861
41,1324.667,6223.667
42,955.667,6501.667
43,664,7125
44,1619,6960.667
45,2132,7026.333
46,2156,7412
47,1928,7485.333
48,1430.333,7458.333
49,1795.667,8131.667
50,2049,7741
51,1578,9283
52,2351,9911.333
53,1701,9929
54,1203,8671
55,2796.333,9214.333
56,2338,8803.667
57,2436,8372
58,2613.333,8558.667
59,2690.667,8146.667
60,3557,9803
61,3991,9561
62,4251,9791
63,3703,9313
64,3437,10627
65,4535,10571
66,5089,9829
67,3982,9052
68,4003,8755
69,3667,8662
70,3005,7662
71,3485,7682
72,3297,7526
73,4181,6968
74,3701,7244
75,3463,7012
76,5429,7570
77,4689,7682
78,4583,7912
79,4225,7870
80,5069,6131
