 ,X,Y
1,3613,2265
2,4161,1787
3,4099,1081
4,3297,729
5,2943,1069
6,3512,1965
7,3584,1513
8,2219,1815
9,3236,1957
10,3447,2704
11,3094,2721
12,2933,2997
13,2811,2874
14,2560,2738
15,1976,2356
16,1352,3606
17,2206,3750
18,2565,3389
19,2972,3260
20,4466,3413
21,3268,3958
22,4367,2819
23,2700,4418
24,2889,4222
25,2605,4840
26,2333,4783
27,2567,4046
28,3959,4658
29,3336,4968
30,3817,5610
31,3545,5667
32,3821,5225
33,3324,6284
34,2428,5650
35,2025,5433
36,2194,6230
37,1943,5925
38,1417,5524
39,1028,5712
40,1100,6006
41,1412,6410
42,1025,6647
43,721,7246
44,1668,7109
45,2217,7197
46,2201,7574
47,1980,7634
48,1468,7584
49,1836,8268
50,2095,7872
51,1635,9460
52,2365,10009
53,1758,10042
54,1249,8789
55,2802,9316
56,2366,8911
57,2448,8534
58,2619,8672
59,2687,8292
60,3523,9920
61,3922,9677
62,4222,9889
63,3684,9438
64,3399,10693
65,4504,10660
66,5068,9923
67,3965,9155
68,3974,8895
69,3657,8787
70,3027,7820
71,3476,7845
72,3326,7683
73,4191,7148
74,3731,7422
75,3482,7210
76,5395,7717
77,4665,7855
78,4572,8060
79,4185,8015
80,5092,6282
