,X,Y
1,3645,546
2,3201,924
3,2949,1449
4,3468,2181
5,2009,788
6,2400,1043
7,2761,421
8,2537,574
9,3024,470
10,1871,1597
11,1801,1923
12,2141,1946
13,2655,1952
14,1159,1681
15,900,2257
16,1636,2055
17,1617,2210
18,2251,2873
19,1633,2563
20,1670,3046
21,1800,3304
22,1949,3509
23,1526,3592
24,1069,3377
25,1169,3178
26,993,3031
27,2520,3424
28,2387,3696
29,2410,3815
30,3084,3822
31,2956,3487
32,3154,3627
33,3798,3711
34,3716,3508
35,4310,2951
36,4252,2610
37,2716,3008
38,3473,2998
39,1335,4278
40,1102,4389
41,916,4537
42,1809,4171
43,1887,4431
44,2225,4211
45,2291,4690
46,2837,4299
47,3017,4335
48,3547,4211
49,3682,4079
50,3609,4424
51,827,5562
52,994,5302
53,1044,4994
54,1496,5332
55,4957,5693
56,4009,5753
57,4399,4827
58,3107,5185
59,1424,6279
60,1950,6855
61,2598,5887
62,2182,5722
63,5011,7292
64,4367,6962
65,4001,7556
66,4122,7205
67,3557,6823
68,2369,7901
69,3113,8701
70,3435,7551
71,3953,8297
72,4429,8201
73,4359,8810
74,4793,8794
75,4441,9363
76,4715,9875
77,4774,10650
78,5056,11326
79,4159,10337
80,5249,10660
81,5182,10058
82,4785,4695
83,4578,3321
84,198,5583
85,258,4305
86,4731,4224
87,4368,4632
88,3948,5346
89,3687,6957
