,X,Y
1,3304,3818
2,2339,3884
3,3032,3323
4,2865,4262
5,2851,4801
6,1232,5585
7,2248,5185
8,2076,4865
9,2250,5725
10,3528,5635
11,3780,4915
12,4656,4484
13,4473,3545
14,5175,5357
15,2510,6568
16,1256,7078
17,2423,8251
18,3368,7588
19,3233,6787
20,4684,6205
21,5536,7461
22,4888,8569
23,7344,7709
24,6824,6821
25,6988,4965
26,6303,4650
27,7242,3786
28,9876,4984
29,8384,5672
30,10332,6328
31,8720,7183
32,9005,4675
33,9038,3337
34,8105,3466
35,13172,6280
36,11344,5720
37,12580,7624
38,10648,7664
39,11163,2997
40,9855,4011
41,11385,4353
42,12309,5041
43,12633,4085
44,13315,3231
45,13181,2577
46,13888,6814
47,14484,7890
48,15749,6814
49,14672,6514
50,13257,4791
51,14397,3539
52,15241,3955
53,14112,5500
54,15450,5638
55,16324,2903
56,16550,4151
57,16494,6191
58,17026,4995
59,17344,3515
60,18106,5103
61,17716,4055
62,19248,4860
63,19966,4454
64,18660,3908
65,19306,7748
66,18000,7826
67,21002,4986
68,21238,3894
69,22946,4298
70,23094,5426
71,25998,4886
72,26666,7995
73,30074,7563
74,27602,2167
75,29638,1811
76,31278,3839
77,32230,2303
