 ,X,Y
1,5432,2960
2,4411,3028
3,5184,2408
4,4952,3416
5,4952,3880
6,3152,4592
7,4280,4336
8,4096,4040
9,4270,4892
10,5559,4786
11,5871,4000
12,6765,3652
13,6519,2642
14,7341,4514
15,4507,5751
16,3152,6136
17,4371,7354
18,5433,6790
19,5193,5998
20,6711,5428
21,7521,6742
22,6837,7738
23,9267,6982
24,8835,6058
25,9049,4216
26,8469,3880
27,9375,3010
28,11895,4246
29,10353,5068
30,13605,5860
31,10725,6498
32,11109,4408
33,11199,2614
34,10179,2746
35,15189,5688
36,13269,5056
37,14607,7104
38,12603,6908
39,13329,2244
40,11949,3342
41,13481,3683
42,14343,4500
43,14763,3450
44,15459,2634
45,15335,1919
46,15675,6342
47,16581,7398
48,17811,6354
49,16743,6060
50,15348,4165
51,16545,2962
52,17355,3406
53,16187,4900
54,17529,5110
55,18519,2332
56,18603,3594
57,18651,5790
58,19127,4447
59,19605,3072
60,20307,4758
61,19797,3552
62,21177,4470
63,22005,3972
64,20811,3486
65,21453,7234
66,20025,7322
67,23277,4608
68,23388,3415
69,25023,3864
70,25191,5016
71,28139,4515
72,28722,7679
73,32187,7088
74,29769,1782
75,31881,1472
76,33387,3396
77,34479,1818
