 ,X,Y
1,5549,2255
2,4537,2147
3,5381,1697
4,5032,2615
5,4841,3132
6,3133,3572
7,4199,3422
8,4081,3097
9,4127,3926
10,5394,4089
11,5802,3363
12,6736,3153
13,6680,2123
14,7184,4123
15,4180,4817
16,2872,5054
17,3817,6479
18,4921,6059
19,4855,5204
20,6331,4976
21,7000,6335
22,6154,7262
23,8704,6860
24,8404,5873
25,8938,4061
26,8344,3647
27,9367,2924
28,11725,4637
29,10048,5111
30,11965,6086
31,10186,6623
32,10639,4087
33,11239,2800
34,10231,2773
35,14695,6487
36,12928,5572
37,13918,7789
38,11984,7473
39,13368,2787
40,11840,3577
41,13304,4253
42,14080,5117
43,14592,4180
44,15409,3467
45,15379,2752
46,15112,7186
47,15784,8338
48,17161,7486
49,16192,7015
50,15046,4969
51,16429,3970
52,17146,4498
53,15700,5839
54,17077,6226
55,18535,3640
56,18377,4920
57,18069,7036
58,18777,5934
59,19349,4520
60,19885,6248
61,19539,5018
62,20809,6091
63,21694,5740
64,20545,5071
65,20551,8875
66,19207,8752
67,22801,6531
68,23098,5358
69,24676,5973
70,24817,7266
71,27649,6887
72,27969,9843
73,31529,9783
74,29657,4343
75,31733,4095
76,33177,6283
77,34253,4843
