 ,X,Y
1,5084,1365
2,4076,1363
3,4872,861
4,4602,1777
5,4488,2305
6,2824,2933
7,3868,2657
8,3734,2331
9,3844,3165
10,5138,3185
11,5440,2451
12,6344,2099
13,6202,1151
14,6846,3035
15,4000,4021
16,2726,4396
17,3782,5656
18,4802,5125
19,4694,4318
20,6161,3934
21,6923,5188
22,6164,6157
23,8663,5560
24,8258,4633
25,8615,2806
26,7985,2449
27,8945,1657
28,11465,3124
29,9866,3709
30,11819,4525
31,10118,5206
32,10328,2671
33,10799,1369
34,9809,1423
35,14576,4693
36,12773,3964
37,13886,5995
38,11969,5845
39,12920,1210
40,11484,2064
41,13007,2605
42,13839,3385
43,14279,2421
44,15025,1673
45,14933,973
46,15045,5332
47,15777,6392
48,17097,5472
49,16073,5064
50,14797,3156
51,16077,2072
52,16837,2540
53,15535,3962
54,16914,4231
55,18170,1608
56,18113,2859
57,17952,4916
58,18572,3804
59,19052,2368
60,19664,4020
61,19288,2868
62,20654,3852
63,21486,3456
64,20266,2864
65,20534,6662
66,19230,6618
67,22615,4163
68,22882,3044
69,24532,3611
70,24616,4793
71,27571,4472
72,27909,7487
73,31383,7466
74,29514,1934
75,31608,1703
76,33024,3908
77,34125,2453
