 ,X,Y
1,5437,2958
2,4398,3020
3,5211,2445
4,4967,3418
5,4863,3930
6,3209,4623
7,4267,4329
8,4118,4019
9,4284,4820
10,5563,4787
11,5860,3992
12,6751,3599
13,6532,2642
14,7366,4514
15,4477,5693
16,3151,6119
17,4369,7373
18,5431,6803
19,5194,5987
20,6670,5501
21,7528,6734
22,6838,7748
23,9274,6983
24,8815,6053
25,9031,4223
26,8464,3881
27,9370,3005
28,12010,4343
29,10354,5078
30,12448,5726
31,10738,6539
32,10801,3964
33,11227,2593
34,10183,2737
35,15214,5704
36,13285,5065
37,14608,7108
38,12661,7060
39,13327,2242
40,11929,3271
41,13486,3687
42,14356,4491
43,14773,3459
44,15481,2637
45,15343,1929
46,15670,6327
47,16591,7395
48,17815,6345
49,16801,6045
50,15325,4144
51,16557,2956
52,17325,3396
53,16015,4892
54,17580,5120
55,18641,2340
56,18614,3603
57,18650,5781
58,19211,4613
59,19608,3168
60,20124,4691
61,19792,3549
62,21147,4392
63,22024,3979
64,20823,3456
65,21470,7236
66,20030,7293
67,23274,4607
68,23394,3423
69,25026,3871
70,25318,5107
71,28054,4495
72,28726,7412
73,32198,7108
74,29789,1762
75,31865,1362
76,33477,3406
77,34437,1894
