 ,X,Y
1,1392,1472
2,3072,2528
3,1188,2840
4,4350,2348
5,4290,3392
6,6342,4046
7,6762,2726
8,6636,5654
9,9792,5150
10,11454,3782
11,10698,4430
12,10308,2318
13,13308,3512
14,12408,1880
15,13134,5384
16,15678,2474
17,14964,3242
18,15132,4340
19,16782,5414
20,17646,6272
21,18378,8522
22,18426,6764
23,15948,7754
24,14586,8762
25,13014,8876
26,13194,7166
27,10662,7892
28,16302,3284
29,17586,3110
30,17148,4562
31,18378,4484
32,19620,3734
33,19854,3164
34,20082,5168
35,18774,6074
36,21336,8966
37,22470,7514
38,23724,9254
39,19416,8324
40,20976,2396
41,23184,4034
42,22290,5084
43,25292,5913
44,25710,4880
45,26250,6713
46,27366,7781
47,27164,8617
48,29142,9203
49,26956,9361
50,28254,8399
51,29304,7313
52,29322,6149
53,30084,8435
54,30468,8135
55,28272,4865
56,27918,5885
57,34305,8181
58,32220,8501
59,30978,5243
60,30264,3635
61,29154,3641
62,30510,7217
63,31086,5897
64,32616,6449
65,32892,5723
66,33576,6755
67,34464,6611
68,35820,6863
69,35977,5229
70,35106,5795
71,34764,4361
72,33384,4241
73,31974,3197
74,34050,3107
75,35610,2975
76,20732,7969
