 ,X,Y
1,1964,780
2,3392,2022
3,1634,2220
4,4730,2022
5,4574,2910
6,6545,3952
7,6908,2076
8,6817,5728
9,9905,5234
10,11612,4068
11,10508,4764
12,10568,2478
13,13425,4066
14,12641,2450
15,12993,5906
16,15884,3372
17,14978,3984
18,15026,5202
19,16556,6252
20,17417,7348
21,17858,9348
22,18206,8004
23,15608,8406
24,14054,9318
25,12908,9384
26,13070,7854
27,10604,8208
28,16232,4188
29,17540,4146
30,16952,5478
31,18206,5460
32,19593,4676
33,19952,4314
34,20036,6222
35,19376,6606
36,21086,9936
37,22412,8496
38,23114,10218
39,18998,9162
40,20804,3384
41,22953,5096
42,22017,6568
43,24849,7352
44,25454,6084
45,26000,8634
46,26840,9216
47,26785,9936
48,28520,10710
49,26846,10878
50,27716,9792
51,28904,8922
52,28844,7824
53,29360,10086
54,30206,9744
55,28136,6438
56,27537,7296
57,33705,10176
58,31561,10328
59,30320,6748
60,29948,5236
61,28724,5296
62,29906,9004
63,30680,7624
64,32126,8290
65,32420,7594
66,33008,8572
67,33788,8506
68,35204,8974
69,35569,7270
70,34598,7790
71,34418,6320
72,32972,6116
73,31616,4910
74,33602,4874
75,35312,4640
76,20345,8676
