 ,X,Y
1,1137,4362
2,2802,5238
3,1080,5838
4,4104,4974
5,4170,5943
6,6174,6453
7,6516,5007
8,6807,8100
9,9720,7302
10,11325,5532
11,10374,6429
12,9975,4200
13,13026,5160
14,12129,3693
15,13065,7038
16,15369,3978
17,14595,4728
18,14907,5916
19,16635,6702
20,17667,7608
21,18592,9523
22,18619,8092
23,15841,8950
24,14683,10336
25,13498,10594
26,13129,9433
27,10996,9787
28,15922,4711
29,17191,4432
30,16870,5845
31,18109,5629
32,19255,4624
33,19621,4141
34,19897,6025
35,18772,7138
36,21742,9541
37,22456,8044
38,23881,9439
39,19585,9151
40,20257,3064
41,22780,4447
42,21856,4873
43,25086,6218
44,25241.334,5366.667
45,26093,6571
46,27337,7651
47,27394,8377
48,29248,8782
49,27211,9319
50,28288,8032
51,29275,6910
52,28993,5770
53,30010,7954
54,30640,7423
55,27772,4462
56,27586,5629
57,34234,7372
58,32206,7756
59,30331,4447
60,29569,3022
61,28549,3115
62,30405,6648
63,30737,5248
64,32325,5576
65,32465,4776
66,33277,5692
67,34073,5431
68,35537,5644
69,35567,4099
70,34677,4572
71,34177,3172
72,32733,3112
73,31153,2400
74,33105,1920
75,34725,1364
76,21005,8852
